"Search.Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Country"	"Region"	"Location.Name"	"Latitude"	"Longitude"	"Focal.Depth..km."	"Mag"	"MMI.Int"	"Deaths"	"Death.Description"	"Missing"	"Missing.Description"	"Injuries"	"Injuries.Description"	"Damage...Mil."	"Damage.Description"	"Houses.Destroyed"	"Houses.Destroyed.Description"	"Houses.Damaged"	"Houses.Damaged.Description"	"Total.Deaths"	"Total.Death.Description"	"Total.Missing"	"Total.Missing.Description"	"Total.Injuries"	"Total.Injuries.Description"	"Total.Damage...Mil."	"Total.Damage.Description"	"Total.Houses.Destroyed"	"Total.Houses.Destroyed.Description"	"Total.Houses.Damaged"	"Total.Houses.Damaged.Description"	"Mag.full"	"Freq.Country"
"1"	""	1900	7	12	6	25	0	NA	NA	"TURKEY"	140	"TURKEY:  KARS,KARAKURT,KAGIZMAN,DIGOR"	40.3	43.1	NA	5.9	8	140	3	NA	NA	NA	NA	NA	3	1100	4	900	3	140	3	NA	NA	NA	NA	NA	3	1100	4	900	3	5	104
"2"	""	1900	10	29	9	11	0	1276	NA	"VENEZUELA"	90	"VENEZUELA:  MACUTO"	11	-66	NA	7.7	10	25	1	NA	NA	NA	NA	NA	3	NA	3	NA	3	25	1	NA	NA	NA	NA	NA	3	NA	3	NA	3	7	13
"3"	""	1901	3	31	7	11	NA	NA	NA	"BULGARIA"	110	"BULGARIA:  BALCHIK, KAVARNA, BLATNITSA, LIMANU"	43.4	28.7	NA	6.4	8	4	1	NA	NA	50	1	NA	3	1200	4	1200	4	4	1	NA	NA	50	1	NA	NA	1200	4	NA	NA	6	4
"4"	""	1901	3	31	7	12	NA	3725	NA	"BULGARIA"	110	"BULGARIA:  BALCHIK"	43.4	28.5	NA	7.2	10	4	1	NA	NA	50	1	NA	3	1200	4	NA	NA	4	1	NA	NA	50	1	NA	3	1200	4	NA	NA	7	4
"5"	""	1901	8	9	18	33	45	1282	NA	"JAPAN"	30	"JAPAN:  OFF NORTHEAST COAST HONSHU"	40.6	142.3	33	8.2	NA	18	1	NA	NA	NA	NA	NA	2	8	1	NA	NA	18	1	NA	NA	NA	NA	NA	2	8	1	NA	NA	8	63
"6"	""	1902	1	16	NA	NA	NA	NA	NA	"MEXICO"	150	"MEXICO:  GUERRERO"	17.6	-99.7	NA	7	NA	2	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	2	1	NA	NA	2	1	NA	2	NA	NA	NA	NA	7	53
"7"	""	1902	2	13	9	39	30	NA	NA	"AZERBAIJAN"	40	"AZERBAIJAN:  SEMACHA; N IRAN"	40.7	48.6	15	6.9	9	86	2	NA	NA	60	2	NA	4	3496	4	3496	4	86	2	NA	NA	60	2	NA	4	3496	4	NA	NA	6	4
"8"	""	1902	3	9	7	46	0	NA	NA	"TURKEY"	140	"TURKEY:  CANKIRI"	40.7	33.6	NA	5.5	9	4	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	104
"9"	""	1902	4	19	2	23	30	5063	NA	"GUATEMALA"	100	"GUATEMALA:  QUEZALTENANGO, SAN MARCOS"	14	-91	33	7.5	NA	2000	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	2000	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	7	15
"10"	""	1902	7	9	3	38	0	NA	NA	"IRAN"	140	"IRAN:  QESHM ISLAND:  QESHM,BANDAR ABBAS,GENU"	27.1	56.3	NA	6.3	8	10	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	10	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	6	138
"11"	""	1902	8	22	3	NA	NA	NA	NA	"CHINA"	40	"CHINA:  XINJIANG, TURKESTAN"	39.88	76.2	30	7.7	10	2500	4	NA	NA	NA	NA	NA	4	NA	4	NA	4	2500	4	NA	NA	NA	NA	NA	4	NA	4	NA	NA	7	152
"12"	""	1902	8	NA	NA	NA	NA	NA	NA	"CHINA"	30	"CHINA:   YUNNAN PROVINCE"	26.3	99.9	NA	5.5	7	6	1	NA	NA	NA	NA	NA	2	NA	3	NA	3	6	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	5	152
"13"	""	1903	4	28	23	46	NA	NA	NA	"TURKEY"	140	"TURKEY:  MALAZGIRT"	39.1	42.5	NA	6.3	10	3560	4	NA	NA	NA	4	NA	4	12000	4	NA	NA	3560	4	NA	NA	NA	4	NA	4	12000	4	NA	NA	6	104
"14"	""	1903	5	28	3	58	0	NA	NA	"TURKEY"	140	"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK"	40.9	42.7	NA	5.8	8	1000	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	1000	4	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	5	104
"15"	""	1903	8	11	4	32	54	NA	NA	"GREECE"	130	"GREECE:  MITATA (KYTHERA)"	36	23	100	7.8	11	2	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	2	1	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	7	46
"16"	""	1903	9	25	1	20	0	NA	NA	"IRAN"	140	"IRAN:  KASHMAR"	35.2	58.2	NA	5.9	8	350	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	350	3	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	5	138
"17"	""	1904	4	24	6	39	NA	NA	NA	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.5	120.5	NA	6	NA	3	1	NA	NA	10	1	NA	2	66	2	NA	NA	3	1	NA	NA	10	1	NA	2	66	2	NA	NA	6	54
"18"	""	1904	8	11	5	56	NA	NA	NA	"GREECE"	130	"GREECE:  SAMOS, PATMOS"	37.75	27	10	6.1	10	4	1	NA	NA	NA	NA	NA	3	540	3	NA	NA	4	1	NA	NA	NA	NA	NA	3	540	3	NA	NA	6	46
"19"	""	1904	8	30	NA	NA	NA	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE"	31.2	100.9	NA	6	8	400	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	400	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	6	152
"20"	""	1904	11	5	20	25	NA	NA	NA	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.5	120.3	NA	6.3	NA	145	3	NA	NA	158	3	NA	2	661	3	NA	NA	145	3	NA	NA	158	3	NA	2	661	3	NA	NA	6	54
"21"	""	1905	4	4	0	50	0	1322	NA	"INDIA"	60	"INDIA:  KANGRA"	33	76	25	7.8	10	19000	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	19000	4	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	7	32
"22"	""	1905	6	1	4	42	NA	NA	NA	"ALBANIA"	130	"ALBANIA:  SHKODER"	42.1	19.6	20	6.6	10	120	3	NA	NA	NA	NA	23.8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	11
"23"	""	1905	6	2	5	39	42	NA	NA	"JAPAN"	30	"JAPAN:  AKI"	34	132	100	7.8	NA	11	1	NA	NA	NA	NA	NA	1	59	2	59	2	11	1	NA	NA	NA	NA	NA	1	59	2	NA	NA	7	63
"24"	""	1905	9	8	1	43	11	3411	NA	"ITALY"	130	"ITALY:  MONTELEONE, TROPEA, MONTE PORO"	38.67	16.07	15	7.1	11	557	3	NA	NA	2000	4	NA	4	6700	4	NA	NA	557	3	NA	NA	2000	4	NA	4	6700	4	NA	NA	7	42
"25"	""	1905	11	8	3	27	NA	NA	NA	"CHINA"	30	"CHINA:  SICHUAN PROVINCE"	29.3	104.8	NA	5	6	13	1	NA	NA	NA	1	NA	1	3	1	3	1	13	1	NA	NA	NA	1	NA	1	3	1	NA	NA	5	152
"26"	""	1906	1	31	15	36	11.2	1331	NA	"ECUADOR"	160	"ECUADOR:  OFF COAST"	0.988	-79.347	25	8.5	9	1000	3	NA	NA	NA	NA	NA	2	NA	3	NA	NA	1000	3	NA	NA	NA	NA	NA	3	NA	3	NA	NA	8	21
"27"	""	1906	3	16	22	42	40	NA	NA	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.6	120.5	NA	6.8	NA	1258	4	NA	NA	145	3	NA	3	6769	4	NA	NA	1258	4	NA	NA	145	3	NA	3	6769	4	NA	NA	6	54
"28"	""	1906	4	13	19	18	NA	NA	NA	"TAIWAN"	30	"TAIWAN:  JIAYI"	23.4	120.4	NA	6.5	NA	15	1	NA	NA	84	2	NA	3	1794	4	NA	NA	15	1	NA	NA	84	2	NA	3	1794	4	NA	NA	6	54
"29"	""	1906	4	18	13	12	21	1333	NA	"USA"	150	"CALIFORNIA:  SAN FRANCISCO"	37.67	-122.48	20	7.9	11	700	3	NA	NA	NA	NA	400	4	28188	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	36
"30"	""	1906	5	NA	NA	NA	NA	NA	NA	"CHINA"	30	"CHINA:  YUNNAN PROVINCE"	24.6	98.6	NA	5.3	7	1	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	1	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	5	152
"31"	""	1906	8	17	0	40	NA	1339	NA	"CHILE"	160	"CHILE:  SOUTH CENTRAL"	-33	-72	25	8.2	11	4000	4	NA	NA	NA	NA	100	4	NA	NA	NA	NA	4000	4	NA	NA	NA	NA	100	4	NA	NA	NA	NA	8	43
"32"	""	1906	12	22	18	21	NA	NA	NA	"CHINA"	40	"CHINA:  XINJIANG PROVINCE"	43.5	85	33	8.3	9	280	3	NA	NA	NA	NA	NA	3	2000	4	NA	NA	280	3	NA	NA	NA	NA	NA	3	2000	4	NA	NA	8	152
"33"	""	1907	4	15	6	8	6	1353	NA	"MEXICO"	150	"MEXICO:  GUERRERO"	17	-100	60	8.3	NA	8	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	8	1	NA	NA	NA	NA	NA	2	NA	3	NA	NA	8	53
